2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
212,256,loughborough university,uk,united kingdom,l,co,vh,4,a,31.0,283,67.0,116,24.0,604,35.0,392,87.0,198,64.0,237,77.0,162,19.0,446,63.0,231,44.0
54,59,ludwig-maximilians-universität münchen,de,germany,xl,fc,vh,5,a,93.0,40,84.0,63,47.0,335,51.0,254,73.0,260,38.0,362,94.0,57,49.0,140,77.0,167,73.0
85,95,lund university,se,sweden,l,fc,vh,5,a,69.0,93,48.0,185,50.0,310,38.0,373,99.0,102,77.0,173,95.0,52,66.0,83,99.0,14,63.0
256,278,maastricht university,nl,netherlands,l,fo,vh,3,a,23.0,369,22.0,422,13.0,701+,63.0,193,100.0,90,100.0,17,47.0,333,27.0,302,14.0,627,39.0
130,195,macquarie university,au,australia,l,fc,vh,4,a,32.0,276,41.0,228,10.0,701+,81.0,105,99.0,104,94.0,94,81.0,139,43.0,167,92.0,80,54.0
382,256,mahidol university,th,thailand,l,fc,vh,4,a,42.0,200,30.0,322,78.0,147,5.0,701+,6.0,701+,5.0,701+,10.0,666,11.0,701+,28.0,471,29.0
1,1,massachusetts institute of technology (mit),us,united states,m,co,vh,5,b,100.0,4,100.0,2,100.0,16,100.0,4,100.0,56,88.0,128,94.0,58,100.0,4,95.0,51,100.0
239,292,massey university,nz,new zealand,m,co,vh,4,a,30.0,286,16.0,528,43.0,364,23.0,520,98.0,111,98.0,64,65.0,215,45.0,157,95.0,58,41.0
30,31,mcgill university,ca,canada,xl,fc,vh,5,a,94.0,34,88.0,58,64.0,219,62.0,195,89.0,188,93.0,98,86.0,107,93.0,33,94.0,64,84.0
189,152,mcmaster university,ca,canada,l,fc,vh,5,a,41.0,210,38.0,255,75.0,166,29.0,444,99.0,93,60.0,250,40.0,376,37.0,197,70.0,204,47.0
526,345,mgimo university,ru,russia,m,sp,,4,a,12.0,601+,21.0,436,100.0,17,1.0,701+,13.0,701+,46.0,315,1.0,701+,48.0,144,1.0,701+,22.0
136,159,michigan state university,us,united states,xl,fc,vh,5,a,60.0,120,49.0,174,11.0,701+,58.0,221,59.0,320,13.0,665,96.0,45,46.0,153,71.0,199,53.0
42,57,monash university,au,australia,xl,fc,vh,4,a,88.0,49,75.0,84,10.0,701+,88.0,81,100.0,50,100.0,19,87.0,102,61.0,95,72.0,194,78.0
415,267,moscow institute of physics and technology (mipt / moscow phystech),ru,russia,m,fo,vh,4,a,20.0,446,20.0,455,96.0,57,16.0,620,31.0,480,53.0,273,5.0,701+,16.0,534,1.0,701+,27.0
176,112,nagoya university,jp,japan,l,fc,vh,4,a,62.0,114,65.0,123,88.0,96,33.0,412,15.0,661,19.0,558,18.0,565,17.0,509,24.0,502,49.0
141,133,nanjing university,cn,china (mainland),xl,fc,vh,5,a,60.0,123,25.0,378,31.0,504,97.0,42,55.0,334,7.0,701+,26.0,488,24.0,356,39.0,367,52.0
384,378,nankai university,cn,china (mainland),xl,fc,vh,4,a,21.0,414,9.0,601+,30.0,526,74.0,132,11.0,701+,4.0,701+,8.0,701+,19.0,440,23.0,521,29.0
26,19,"nanyang technological university, singapore (ntu)",sg,singapore,l,fc,vh,3,a,91.0,42,67.0,115,78.0,149,94.0,56,100.0,35,80.0,161,66.0,212,68.0,79,78.0,160,85.0
1401+,,nara institute of science and technology,jp,japan,,fo,,3,,6.0,601+,2.0,601+,0.0,,0.0,,0.0,,0.0,,2.0,701+,0.0,,0.0,,0.0
228,224,national cheng kung university (ncku),tw,taiwan,l,fc,vh,4,a,49.0,164,76.0,82,33.0,482,21.0,544,24.0,557,16.0,605,11.0,653,30.0,257,78.0,160,42.0
461,308,national research nuclear university mephi (moscow engineering physics institute),ru,russia,s,fo,vh,2,a,10.0,601+,10.0,601+,99.0,36,11.0,701+,54.0,341,91.0,115,2.0,701+,18.0,466,1.0,701+,25.0
586,398,national research tomsk polytechnic university,ru,russia,m,fo,vh,5,a,10.0,601+,8.0,601+,94.0,66,4.0,701+,8.0,701+,77.0,177,21.0,535,8.0,701+,8.0,701+,20.0
505,428,national sun yat-sen university,tw,taiwan,m,co,vh,3,a,27.0,330,24.0,395,30.0,527,25.0,483,24.0,552,10.0,701+,3.0,701+,12.0,701+,21.0,536,23.0
431,436,national taipei university of technology,tw,taiwan,m,fo,vh,3,a,15.0,584,58.0,144,27.0,560,34.0,398,21.0,582,18.0,571,1.0,701+,17.0,485,13.0,638,26.0
431,332,national taiwan normal university,tw,taiwan,m,co,vh,4,a,35.0,248,21.0,448,65.0,209,6.0,701+,15.0,674,27.0,452,2.0,701+,15.0,571,43.0,344,26.0
69,77,national taiwan university (ntu),tw,taiwan,xl,fc,vh,4,a,93.0,39,91.0,46,31.0,508,47.0,288,18.0,619,20.0,547,33.0,431,100.0,12,96.0,49,68.0
387,327,national taiwan university of science and technology (taiwan tech),tw,taiwan,m,fo,vh,3,a,27.0,321,38.0,256,44.0,360,27.0,463,18.0,622,31.0,410,2.0,701+,19.0,451,27.0,481,28.0
347,422,national technical university of athens,gr,greece,l,fo,vh,5,a,21.0,425,43.0,215,5.0,701+,72.0,137,1.0,701+,4.0,701+,32.0,447,32.0,240,8.0,701+,31.0
233,177,national tsing hua university,tw,taiwan,l,co,vh,4,a,53.0,147,68.0,111,28.0,542,38.0,363,17.0,635,20.0,546,7.0,701+,16.0,525,31.0,444,41.0
367,334,national university of sciences and technology (nust) islamabad,pk,pakistan,m,co,vh,3,a,19.0,472,73.0,93,77.0,151,12.0,701+,3.0,701+,4.0,701+,24.0,512,9.0,701+,31.0,438,30.0
8,11,national university of singapore (nus),sg,singapore,xl,fc,vh,3,a,99.0,15,89.0,54,77.0,157,93.0,64,100.0,33,82.0,154,76.0,165,100.0,7,88.0,106,93.0
217,202,national yang ming chiao tung university,tw,taiwan,l,fc,vh,1,a,33.0,262,68.0,110,54.0,286,52.0,247,19.0,601,19.0,566,4.0,701+,45.0,160,54.0,283,43.0
38,39,new york university (nyu),us,united states,xl,fc,vh,5,b,96.0,32,99.0,15,96.0,60,27.0,465,26.0,518,95.0,87,85.0,114,100.0,13,98.0,20,80.0
110,122,newcastle university,uk,united kingdom,l,fc,vh,4,a,48.0,170,75.0,87,36.0,445,50.0,264,90.0,182,71.0,203,96.0,39,24.0,349,99.0,17,59.0
274,312,north carolina state university,us,united states,xl,co,vh,5,a,28.0,315,25.0,384,9.0,701+,67.0,162,63.0,306,15.0,613,50.0,317,21.0,398,65.0,228,37.0
375,388,northeastern university,us,united states,l,co,vh,5,b,19.0,463,10.0,601+,19.0,691,24.0,497,60.0,316,94.0,90,33.0,433,35.0,211,87.0,112,30.0
47,32,northwestern university,us,united states,l,fc,vh,5,b,84.0,60,60.0,132,99.0,39,70.0,147,48.0,364,44.0,327,79.0,152,98.0,19,78.0,162,76.0
292,352,norwegian university of science and technology,no,norway,xl,fc,vh,5,a,34.0,253,19.0,465,24.0,609,28.0,456,76.0,246,10.0,701+,89.0,91,51.0,129,66.0,223,36.0
421,260,novosibirsk state university,ru,russia,m,co,vh,4,a,28.0,317,14.0,572,94.0,69,13.0,685,7.0,701+,56.0,264,5.0,701+,13.0,667,7.0,701+,27.0
80,68,osaka university,jp,japan,l,fc,vh,4,a,81.0,67,89.0,51,55.0,272,63.0,191,29.0,498,13.0,658,27.0,486,23.0,361,59.0,255,64.0
413,438,oxford brookes university,uk,united kingdom,l,co,hi,3,a,29.0,301,30.0,329,14.0,701+,8.0,701+,69.0,282,70.0,209,27.0,481,18.0,454,34.0,409,27.0
17,12,peking university,cn,china (mainland),xl,fc,vh,5,a,99.0,14,95.0,37,90.0,85,98.0,38,51.0,354,24.0,492,43.0,353,83.0,46,69.0,212,87.0
83,93,pennsylvania state university,us,united states,xl,fc,vh,5,a,78.0,76,63.0,126,28.0,540,63.0,189,23.0,560,27.0,449,97.0,36,48.0,145,95.0,52,63.0
534,382,peter the great st. petersburg polytechnic university,ru,russia,l,fo,vh,5,a,17.0,529,9.0,601+,78.0,148,3.0,701+,15.0,669,88.0,131,22.0,528,4.0,701+,18.0,564,22.0
100,71,pohang university of science and technology (postech),kr,south korea,s,fo,vh,3,b,52.0,153,76.0,79,100.0,21,98.0,29,34.0,464,3.0,701+,1.0,701+,13.0,637,17.0,581,60.0
123,139,politecnico di milano,it,italy,xl,fo,vh,5,a,69.0,94,71.0,99,5.0,701+,48.0,282,64.0,302,57.0,262,75.0,173,37.0,201,29.0,453,55.0
252,325,politecnico di torino,it,italy,xl,fo,vh,5,a,39.0,225,45.0,194,2.0,701+,58.0,222,4.0,701+,47.0,313,50.0,313,21.0,391,57.0,263,39.0
514,323,pontificia universidad católica argentina,ar,argentina,l,fc,md,4,b,20.0,431,32.0,303,100.0,22,1.0,701+,2.0,701+,9.0,701+,1.0,701+,20.0,420,1.0,701+,23.0
103,121,pontificia universidad católica de chile (uc),cl,chile,l,fc,vh,5,b,93.0,38,100.0,11,21.0,654,12.0,701+,16.0,645,4.0,701+,57.0,270,76.0,56,91.0,84,60.0
336,363,pontificia universidad católica del perú,pe,peru,l,fo,vh,5,b,46.0,177,77.0,75,26.0,572,2.0,701+,4.0,701+,1.0,701+,3.0,701+,35.0,214,31.0,428,32.0
347,382,pontificia universidad javeriana,co,colombia,l,fc,hi,5,b,43.0,198,73.0,94,23.0,619,2.0,701+,4.0,701+,3.0,701+,4.0,701+,57.0,107,29.0,456,31.0
1401+,1401+,pontificia universidade católica do minas gerais - puc minas,br,brazil,xl,fo,hi,4,c,5.0,601+,4.0,601+,2.0,701+,2.0,701+,0.0,,0.0,,1.0,701+,6.0,701+,1.0,701+,0.0
17,16,princeton university,us,united states,m,co,vh,5,b,100.0,10,98.0,23,65.0,216,100.0,2,17.0,640,58.0,261,53.0,298,95.0,27,79.0,155,87.0
99,129,purdue university,us,united states,xl,fc,vh,5,a,64.0,108,81.0,71,10.0,701+,68.0,155,42.0,398,46.0,317,75.0,170,53.0,117,67.0,215,61.0
173,208,qatar university,qa,qatar,m,fc,vh,3,a,27.0,320,44.0,206,65.0,213,39.0,356,100.0,20,97.0,74,60.0,244,96.0,24,36.0,397,49.0
315,363,quaid-i-azam university,pk,pakistan,m,co,vh,4,a,16.0,552,40.0,234,3.0,701+,97.0,40,3.0,701+,1.0,701+,23.0,519,6.0,701+,23.0,514,33.0
145,125,queen mary university of london,uk,united kingdom,l,fc,vh,5,a,49.0,168,33.0,300,39.0,409,51.0,260,100.0,85,99.0,43,73.0,184,17.0,506,70.0,207,52.0
209,246,queen's university at kingston,ca,canada,l,fc,vh,5,a,41.0,209,57.0,146,5.0,701+,45.0,300,70.0,278,31.0,417,23.0,523,72.0,68,85.0,117,45.0
202,233,queen's university belfast,uk,united kingdom,l,fc,vh,5,a,34.0,258,30.0,321,28.0,554,44.0,307,100.0,75,99.0,54,84.0,124,14.0,589,91.0,87,46.0
189,222,queensland university of technology (qut),au,australia,xl,co,vh,3,a,41.0,205,38.0,261,7.0,701+,65.0,176,96.0,141,26.0,458,69.0,202,17.0,502,91.0,89,47.0
222,232,radboud university,nl,netherlands,l,fc,vh,5,a,29.0,302,14.0,585,28.0,551,75.0,129,78.0,236,20.0,544,79.0,155,16.0,533,83.0,133,43.0
1401+,,rajshahi university,bd,bangladesh,,co,,4,,9.0,601+,10.0,601+,0.0,,0.0,,0.0,,0.0,,1.0,701+,0.0,,0.0,,0.0
494,461,rensselaer polytechnic institute,us,united states,m,co,vh,5,b,8.0,601+,7.0,601+,20.0,682,71.0,144,4.0,701+,44.0,326,2.0,701+,24.0,350,3.0,701+,23.0
239,201,rheinische friedrich-wilhelms-universität bonn,de,germany,l,fc,vh,5,a,52.0,151,20.0,458,58.0,247,22.0,526,42.0,397,38.0,365,91.0,79,26.0,319,35.0,399,41.0
145,100,rice university,us,united states,m,fc,vh,5,b,39.0,222,23.0,415,66.0,205,83.0,101,91.0,176,95.0,89,10.0,671,30.0,262,43.0,345,52.0
140,190,rmit university,au,australia,xl,co,vh,3,a,39.0,223,50.0,173,5.0,701+,69.0,151,100.0,37,93.0,102,57.0,267,29.0,277,96.0,43,52.0
413,402,royal holloway university of london,uk,united kingdom,m,co,vh,5,a,16.0,546,6.0,601+,14.0,701+,36.0,384,94.0,155,89.0,125,24.0,511,11.0,701+,38.0,377,27.0
342,295,rudn university,ru,russia,l,fc,vh,4,a,22.0,395,45.0,192,92.0,74,2.0,701+,8.0,701+,93.0,103,60.0,242,12.0,701+,4.0,701+,32.0
375,416,ruhr-universität bochum,de,germany,xl,fc,vh,4,a,21.0,411,11.0,601+,2.0,701+,60.0,208,61.0,314,30.0,425,62.0,231,15.0,570,18.0,567,30.0
87,65,ruprecht-karls-universität heidelberg,de,germany,l,fo,vh,5,a,78.0,75,52.0,156,100.0,29,38.0,365,53.0,349,50.0,290,90.0,88,20.0,423,43.0,345,62.0
299,267,rutgers university–new brunswick,us,united states,xl,co,vh,5,a,37.0,234,25.0,386,49.0,324,18.0,583,19.0,602,33.0,395,60.0,245,21.0,403,96.0,47,35.0
106,147,rwth aachen university,de,germany,xl,fc,vh,5,a,50.0,163,93.0,44,6.0,701+,79.0,120,49.0,362,83.0,151,64.0,223,24.0,354,53.0,288,59.0
315,270,saint petersburg state university,ru,russia,l,fc,vh,5,a,41.0,207,24.0,403,62.0,228,5.0,701+,5.0,701+,42.0,335,70.0,198,53.0,120,36.0,391,33.0
1401+,1401+,sakarya university,tr,turkey,xl,fc,md,3,a,4.0,601+,3.0,601+,3.0,701+,3.0,701+,2.0,701+,13.0,669,1.0,701+,8.0,701+,1.0,701+,0.0
134,171,sapienza university of rome,it,italy,xl,fc,vh,5,a,79.0,74,41.0,229,5.0,701+,45.0,301,3.0,701+,11.0,697,97.0,33,60.0,101,92.0,79,53.0
481,405,satbayev university,kz,kazakhstan,m,fo,vh,4,a,23.0,370,36.0,272,84.0,111,1.0,701+,41.0,407,4.0,701+,1.0,701+,11.0,701+,1.0,701+,24.0
319,259,sciences po,fr,france,l,sp,,5,a,18.0,502,28.0,353,88.0,94,3.0,701+,55.0,337,97.0,73,1.0,701+,76.0,55,55.0,279,33.0
41,29,seoul national university,kr,south korea,l,fc,vh,4,a,99.0,18,98.0,17,85.0,105,65.0,175,12.0,701+,15.0,631,37.0,401,100.0,8,74.0,181,79.0
1401+,,shahjalal university of science and technology,bd,bangladesh,,fo,,3,,7.0,601+,9.0,601+,0.0,,0.0,,0.0,,0.0,,1.0,701+,0.0,,0.0,,0.0
360,396,shandong university,cn,china (mainland),xl,fc,vh,4,a,16.0,558,32.0,310,18.0,701+,79.0,118,9.0,701+,3.0,701+,16.0,580,17.0,480,28.0,463,31.0
51,46,shanghai jiao tong university,cn,china (mainland),xl,fc,vh,4,a,84.0,61,83.0,64,55.0,279,99.0,15,39.0,415,36.0,377,38.0,390,56.0,113,44.0,339,74.0
514,422,shanghai university,cn,china (mainland),xl,co,vh,3,a,22.0,397,9.0,601+,53.0,291,25.0,476,44.0,383,6.0,701+,12.0,643,11.0,701+,16.0,598,23.0
334,380,sharif university of technology,ir,"iran, islamic republic of",m,fo,vh,4,a,10.0,601+,44.0,207,6.0,701+,99.0,19,7.0,701+,1.0,701+,10.0,675,26.0,321,2.0,701+,32.0
355,406,sichuan university,cn,china (mainland),xl,fc,vh,3,a,20.0,436,8.0,601+,11.0,701+,95.0,55,7.0,701+,5.0,701+,26.0,490,15.0,564,19.0,555,31.0
318,328,simon fraser university,ca,canada,l,co,vh,4,a,26.0,343,14.0,600,6.0,701+,43.0,315,97.0,128,86.0,139,35.0,423,18.0,474,54.0,283,33.0
429,,singapore university of technology and design,sg,singapore,s,sp,,2,,7.0,601+,6.0,601+,99.0,34,65.0,180,0.0,,0.0,,3.0,701+,8.0,701+,0.0,,26.0
511,443,soas university of london,uk,united kingdom,m,sp,,5,a,18.0,494,10.0,601+,18.0,701+,15.0,629,100.0,51,99.0,51,1.0,701+,20.0,427,4.0,701+,23.0
509,457,sogang university,kr,south korea,m,co,vh,4,b,22.0,401,49.0,178,56.0,269,6.0,701+,7.0,701+,24.0,483,1.0,701+,17.0,513,1.0,701+,23.0
59,60,sorbonne university,fr,france,xl,fc,vh,1,a,89.0,48,53.0,151,43.0,361,85.0,93,35.0,451,50.0,297,100.0,4,40.0,182,76.0,171,72.0
392,406,south china university of technology,cn,china (mainland),xl,co,vh,3,a,13.0,601+,4.0,601+,19.0,694,95.0,50,10.0,701+,5.0,701+,10.0,674,22.0,380,10.0,667,28.0
454,461,southeast university,cn,china (mainland),xl,fc,vh,3,a,13.0,601+,7.0,601+,24.0,593,73.0,134,15.0,664,4.0,701+,21.0,536,9.0,701+,17.0,581,25.0
301,226,southern university of science and technology,cn,china (mainland),m,fo,vh,2,a,9.0,601+,2.0,601+,95.0,64,95.0,53,37.0,434,2.0,701+,7.0,701+,7.0,701+,7.0,701+,35.0
1401+,,stamford university bangladesh,bd,bangladesh,,fo,,2,,10.0,601+,3.0,601+,0.0,,0.0,,0.0,,0.0,,1.0,701+,0.0,,0.0,,0.0
5,3,stanford university,us,united states,l,fc,vh,5,b,100.0,5,100.0,3,100.0,11,100.0,8,100.0,78,51.0,284,96.0,44,100.0,2,94.0,63,98.0
1401+,,state university of malang,id,indonesia,l,fo,vh,4,a,5.0,601+,2.0,601+,8.0,701+,2.0,701+,10.0,701+,1.0,701+,1.0,701+,8.0,701+,1.0,701+,0.0
283,454,stellenbosch university,za,south africa,l,fc,vh,5,a,25.0,351,39.0,240,3.0,701+,60.0,206,20.0,591,8.0,701+,92.0,69,50.0,132,44.0,339,37.0
118,153,stockholm university,se,sweden,l,co,vh,4,a,54.0,145,15.0,543,28.0,543,72.0,138,82.0,223,84.0,147,95.0,51,76.0,57,75.0,175,57.0
396,416,"stony brook university, state university of new york",us,united states,l,fc,vh,4,a,19.0,473,8.0,601+,30.0,517,32.0,424,45.0,376,51.0,285,34.0,424,19.0,449,89.0,97,28.0
1401+,1401+,sudan university of science and technology,sd,sudan,xl,co,md,3,a,4.0,601+,3.0,601+,3.0,701+,1.0,701+,2.0,701+,2.0,701+,1.0,701+,9.0,701+,1.0,701+,0.0
454,384,sultan qaboos university,om,oman,m,fc,vh,3,a,17.0,528,14.0,593,57.0,259,18.0,577,100.0,58,3.0,701+,48.0,325,17.0,478,8.0,701+,25.0
323,267,sun yat-sen university,cn,china (mainland),xl,fc,vh,4,a,36.0,238,22.0,423,49.0,321,44.0,304,2.0,701+,4.0,701+,33.0,429,17.0,508,38.0,373,33.0
145,99,sungkyunkwan university(skku),kr,south korea,l,fc,vh,5,b,64.0,106,72.0,98,82.0,129,38.0,369,18.0,618,34.0,387,10.0,672,27.0,304,28.0,471,52.0
307,425,swansea university,uk,united kingdom,l,fc,hi,5,a,21.0,418,45.0,193,24.0,608,27.0,460,73.0,261,54.0,271,59.0,254,11.0,701+,61.0,248,34.0
285,296,swinburne university of technology,au,australia,l,co,vh,3,a,13.0,601+,12.0,601+,11.0,701+,90.0,76,98.0,114,66.0,229,24.0,507,11.0,701+,26.0,487,36.0
577,384,taipei medical university (tmu),tw,taiwan,m,sp,,2,b,10.0,601+,15.0,536,91.0,81,18.0,585,15.0,667,16.0,609,1.0,701+,10.0,701+,9.0,688,21.0
436,415,tampere university,fi,finland,l,fc,vh,1,a,23.0,391,20.0,463,24.0,595,32.0,422,32.0,473,6.0,701+,56.0,275,21.0,406,37.0,387,26.0
284,284,taylor's university,my,malaysia,s,fo,vh,2,c,24.0,358,83.0,67,63.0,225,9.0,701+,54.0,342,99.0,55,4.0,701+,11.0,701+,2.0,701+,36.0
1401+,,technical university of crete,gr,greece,,sp,,,,6.0,601+,5.0,601+,0.0,,0.0,,0.0,,0.0,,3.0,701+,0.0,,0.0,,0.0
246,275,technical university of darmstadt,de,germany,l,fo,vh,5,a,21.0,417,38.0,263,6.0,701+,79.0,117,63.0,310,75.0,188,33.0,439,34.0,229,20.0,545,40.0
121,104,technical university of denmark,dk,denmark,m,fo,vh,5,a,33.0,270,16.0,525,100.0,27,83.0,99,100.0,53,82.0,153,72.0,189,29.0,275,55.0,277,56.0
37,49,technical university of munich,de,germany,xl,fo,vh,5,a,84.0,59,98.0,19,89.0,89,60.0,210,77.0,243,97.0,71,87.0,103,25.0,330,85.0,120,80.0
392,408,technion - israel institute of technology,il,israel,l,fc,vh,5,a,25.0,345,28.0,347,44.0,358,25.0,479,65.0,296,5.0,701+,13.0,628,31.0,250,26.0,485,28.0
1401+,,technische universität bergakademie freiberg,de,germany,,sp,,,,6.0,601+,5.0,601+,0.0,,0.0,,0.0,,0.0,,5.0,701+,0.0,,0.0,,0.0
154,158,technische universität berlin (tu berlin),de,germany,l,co,vh,5,a,56.0,137,69.0,107,53.0,296,25.0,492,51.0,351,69.0,214,55.0,284,25.0,327,52.0,294,51.0
246,200,technische universität dresden,de,germany,l,fc,vh,5,a,38.0,231,38.0,258,91.0,79,15.0,639,46.0,373,35.0,379,87.0,98,11.0,701+,31.0,438,40.0
1401+,,technische universität hamburg-harburg,de,germany,,sp,,,,9.0,601+,6.0,601+,0.0,,0.0,,0.0,,0.0,,3.0,701+,0.0,,0.0,,0.0
1401+,,technische universität kaiserslautern,de,germany,,co,,,,7.0,601+,3.0,601+,0.0,,0.0,,0.0,,0.0,,11.0,655,0.0,,0.0,,0.0
184,179,technische universität wien,at,austria,m,fo,vh,5,a,33.0,266,44.0,201,13.0,701+,86.0,91,79.0,232,89.0,123,45.0,347,13.0,649,19.0,552,48.0
184,170,tecnológico de monterrey,mx,mexico,xl,fc,hi,4,b,51.0,157,97.0,28,64.0,222,2.0,701+,33.0,469,12.0,681,14.0,618,88.0,41,66.0,223,48.0
215,260,tel aviv university,il,israel,l,fc,vh,4,a,33.0,264,24.0,407,4.0,701+,100.0,11,40.0,410,5.0,701+,40.0,382,73.0,62,38.0,373,44.0
134,164,texas a&m university,us,united states,xl,fc,vh,5,a,62.0,112,60.0,135,5.0,701+,68.0,152,23.0,564,13.0,656,88.0,93,30.0,259,61.0,246,53.0
415,416,the american university in cairo,eg,egypt,m,co,hi,5,b,30.0,287,24.0,405,43.0,368,5.0,701+,98.0,115,4.0,701+,1.0,701+,63.0,92,16.0,588,27.0
34,30,the australian national university,au,australia,l,fc,vh,4,a,93.0,37,70.0,102,35.0,455,93.0,65,100.0,38,93.0,97,79.0,156,44.0,164,87.0,108,82.0
47,38,the chinese university of hong kong (cuhk),hk,hong kong sar,l,fc,vh,4,a,88.0,50,46.0,190,60.0,236,92.0,67,100.0,57,77.0,174,33.0,438,79.0,53,61.0,246,76.0
251,222,the hebrew university of jerusalem,il,israel,l,fc,vh,5,a,34.0,252,29.0,334,81.0,135,23.0,521,55.0,338,16.0,600,37.0,400,78.0,54,51.0,301,39.0
65,65,the hong kong polytechnic university,hk,hong kong sar,l,co,vh,3,a,68.0,97,30.0,323,68.0,192,89.0,77,100.0,40,87.0,133,42.0,362,49.0,138,93.0,73,69.0
60,40,the hong kong university of science and technology,hk,hong kong sar,m,co,vh,3,a,83.0,63,43.0,216,54.0,289,99.0,20,100.0,19,91.0,111,5.0,701+,50.0,131,31.0,432,71.0
45,56,the london school of economics and political science (lse),uk,united kingdom,m,sp,vh,5,a,68.0,98,96.0,32,40.0,401,80.0,110,100.0,35,100.0,10,32.0,440,99.0,16,98.0,28,77.0
151,140,the ohio state university,us,united states,xl,fc,vh,5,a,59.0,125,56.0,148,54.0,287,31.0,429,50.0,359,17.0,590,85.0,116,35.0,216,78.0,158,51.0
89,109,the university of adelaide,au,australia,l,fc,vh,5,a,54.0,144,37.0,267,16.0,701+,87.0,83,100.0,69,100.0,40,79.0,154,38.0,191,96.0,42,62.0
285,262,the university of arizona,us,united states,xl,fc,vh,5,a,39.0,226,18.0,476,73.0,175,20.0,562,11.0,701+,9.0,701+,88.0,96,31.0,245,72.0,196,36.0
68,87,the university of auckland,nz,new zealand,l,fc,vh,5,a,82.0,65,41.0,231,19.0,687,62.0,198,100.0,68,92.0,108,64.0,220,94.0,28,100.0,9,68.0
22,15,the university of edinburgh,uk,united kingdom,xl,fc,vh,5,a,98.0,25,97.0,26,72.0,176,59.0,216,99.0,100,100.0,33,100.0,12,48.0,141,100.0,6,86.0
153,163,the university of exeter,uk,united kingdom,l,fc,vh,4,a,43.0,199,51.0,161,27.0,555,43.0,308,92.0,174,76.0,180,90.0,85,20.0,424,95.0,57,51.0
26,21,the university of hong kong,hk,hong kong sar,l,fc,vh,5,a,98.0,27,51.0,159,83.0,121,82.0,102,100.0,28,99.0,52,43.0,355,100.0,14,97.0,32,85.0
32,28,the university of manchester,uk,united kingdom,xl,fc,vh,5,a,95.0,33,98.0,21,54.0,288,49.0,274,94.0,160,99.0,44,100.0,10,72.0,66,92.0,75,82.0
14,33,the university of melbourne,au,australia,xl,fc,vh,5,a,98.0,21,92.0,45,15.0,701+,92.0,69,93.0,166,100.0,36,97.0,30,93.0,31,90.0,92,88.0
19,45,the university of new south wales (unsw sydney),au,australia,xl,fc,vh,4,a,90.0,45,88.0,55,18.0,701+,96.0,47,100.0,55,99.0,50,99.0,15,96.0,25,100.0,10,87.0
173,192,"the university of newcastle, australia (uon)",au,australia,m,fc,vh,4,a,29.0,296,27.0,361,37.0,436,91.0,71,100.0,73,17.0,584,49.0,319,13.0,696,93.0,70,49.0
43,50,the university of queensland,au,australia,xl,fc,vh,5,a,87.0,52,74.0,89,22.0,635,87.0,84,100.0,41,100.0,22,95.0,53,44.0,163,73.0,187,78.0
104,96,the university of sheffield,uk,united kingdom,l,fc,vh,5,a,59.0,130,52.0,153,55.0,278,47.0,289,84.0,218,98.0,69,96.0,38,25.0,332,76.0,169,60.0
19,41,the university of sydney,au,australia,xl,fc,vh,5,a,96.0,31,88.0,57,12.0,701+,94.0,63,100.0,89,100.0,13,92.0,70,88.0,42,100.0,7,87.0
28,23,the university of tokyo,jp,japan,l,fc,vh,5,a,100.0,7,100.0,9,90.0,84,70.0,148,10.0,701+,29.0,427,70.0,196,100.0,11,100.0,5,84.0
67,64,the university of warwick,uk,united kingdom,l,fc,vh,4,a,71.0,86,88.0,56,37.0,420,49.0,275,98.0,109,99.0,47,90.0,87,47.0,148,63.0,239,69.0
72,90,the university of western australia,au,australia,l,fc,vh,5,a,56.0,138,45.0,200,17.0,701+,99.0,23,100.0,29,100.0,34,90.0,83,66.0,82,70.0,204,67.0
285,307,tianjin university,cn,china (mainland),l,co,vh,4,a,19.0,477,9.0,601+,35.0,461,98.0,31,24.0,544,27.0,446,19.0,555,24.0,351,26.0,488,36.0
371,398,tilburg university,nl,netherlands,l,fo,vh,4,a,15.0,573,33.0,294,10.0,701+,44.0,302,97.0,131,58.0,259,9.0,683,14.0,602,31.0,432,30.0
113,79,tohoku university,jp,japan,l,fc,vh,5,a,72.0,85,84.0,61,99.0,41,30.0,436,14.0,683,14.0,647,28.0,474,17.0,486,75.0,177,58.0
91,55,tokyo institute of technology (tokyo tech),jp,japan,m,co,vh,4,a,74.0,79,95.0,39,84.0,109,53.0,244,32.0,475,32.0,404,9.0,701+,20.0,425,18.0,567,62.0
418,264,tomsk state university,ru,russia,m,co,vh,5,a,23.0,376,11.0,601+,99.0,32,5.0,701+,24.0,555,92.0,109,23.0,514,7.0,701+,3.0,701+,27.0
216,212,tongji university,cn,china (mainland),xl,fc,vh,5,a,34.0,251,13.0,601+,29.0,534,92.0,70,57.0,327,33.0,396,21.0,534,18.0,464,65.0,225,44.0
